"title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_date","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_date","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5","imdb_url","rt_url"
"Clerks II","Feature Film","Drama",97,"R","MGM",2006-07-21,2006,7,21,2006-11-28,2006,11,28,7.4,112216,"Fresh",63,"Upright",84,"no","no","no","no","no","no","Kevin Smith","Brian O'Halloran","Jeff Anderson","Rosario Dawson","Jason Mewes","Trevor Fehrman","http://www.imdb.com/title/tt0424345/","//www.rottentomatoes.com/m/clerks_2/"
"Leatherface: The Texas Chainsaw Massacre III","Feature Film","Horror",85,"R","Sony Pictures Home Entertainment",1990-01-12,1990,1,12,2003-10-07,2003,10,7,5.1,9565,"Rotten",19,"Spilled",32,"no","no","no","no","no","no","Jeff Burr","Kate Hodge","Ken Foree","Viggo Mortensen","R.A. Mihailoff","Miriam Byrd-Nethery","http://www.imdb.com/title/tt0099994/","//www.rottentomatoes.com/m/leatherface_the_texas_chainsaw_massacre_3/"
"Run Lola Run","Feature Film","Drama",81,"R","Sony Pictures Classics",1999-06-18,1999,6,18,1999-12-21,1999,12,21,7.8,157701,"Certified Fresh",93,"Upright",90,"no","no","no","no","no","no","Tom Tykwer","Franka Potente","Moritz Bleibtreu","Herbert Knaup","Nina Petri","Armin Rohde","http://www.imdb.com/title/tt0130827/","//www.rottentomatoes.com/m/run_lola_run/"
"The Ninth Gate","Feature Film","Mystery & Suspense",133,"R","Artisan Entertainment",1999-12-24,1999,12,24,2000-07-18,2000,7,18,6.7,134031,"Rotten",41,"Spilled",57,"no","no","no","no","no","no",NA,"Johnny Depp","Frank Langella","Lena Olin","Emmanuelle Seigner","Barbara Jefford","http://www.imdb.com/title/tt0142688/","//www.rottentomatoes.com/m/ninth_gate/"
"The Devil's Rejects","Feature Film","Horror",107,"R","Lions Gate Films",2005-07-22,2005,7,22,2005-11-07,2005,11,7,6.9,74294,"Rotten",53,"Upright",78,"no","no","no","no","no","no","Rob Zombie","Sid Haig","Bill Moseley","William Forsythe","Ken Foree","Matthew McGrory","http://www.imdb.com/title/tt0395584/","//www.rottentomatoes.com/m/devils_rejects/"
"Proof of Life","Feature Film","Drama",135,"R","Warner Bros. Pictures",2000-12-08,2000,12,8,2001-06-19,2001,6,19,6.2,48324,"Rotten",40,"Spilled",43,"no","no","yes","no","no","no","Taylor Hackford","Meg Ryan","Russell Crowe","David Morse","David Caruso","Pamela Reed","http://www.imdb.com/title/tt0228750/","//www.rottentomatoes.com/m/proof_of_life/"
"The Black Stallion","Feature Film","Action & Adventure",118,"G","Twentieth Century Fox Home Entertainment",1979-10-17,1979,10,17,1997-09-10,1997,9,10,7.4,8544,"Fresh",88,"Upright",83,"no","no","no","no","no","no","Carroll Ballard","Kelly Reno","Mickey Rooney","Teri Garr","Clarence Muse","Hoyt Axton","http://www.imdb.com/title/tt0078872/","//www.rottentomatoes.com/m/black_stallion/"
"Madagascar: Escape 2 Africa","Feature Film","Action & Adventure",89,"PG","Paramount Studios",2008-11-07,2008,11,7,2009-02-06,2009,2,6,6.7,137405,"Fresh",64,"Upright",66,"no","no","no","no","no","no","Tom McGrath","Ben Stiller","Chris Rock","David Schwimmer","Jada Pinkett Smith","Sacha Baron Cohen","http://www.imdb.com/title/tt0479952/","//www.rottentomatoes.com/m/madagascar_escape_2_africa/"
"Underworld: The Rise of the Lycans","Feature Film","Action & Adventure",92,"R","Sony Pictures/Screen Gems",2009-01-23,2009,1,23,2009-05-12,2009,5,12,6.6,115026,"Rotten",29,"Upright",63,"no","no","no","no","no","no","Patrick Tatopoulos","Bill Nighy","Michael Sheen","Rhona Mitra","Steven Mackintosh","Kevin Grevioux","http://www.imdb.com/title/tt0834001/","//www.rottentomatoes.com/m/underworld_rise_of_the_lycans/"
"Beverly Hills Cop","Feature Film","Action & Adventure",105,"R","Paramount Pictures",1984-12-01,1984,12,1,2002-01-29,2002,1,29,7.3,121245,"Certified Fresh",83,"Upright",81,"no","no","no","no","no","yes","Martin Brest","Eddie Murphy","Judge Reinhold","John Ashton","Lisa Eilbacher","Lisa Eichhorn","http://www.imdb.com/title/tt0086960/","//www.rottentomatoes.com/m/beverly_hills_cop/"
"Naked Lunch","Feature Film","Drama",115,"R","Twentieth Century Fox Home Entertainment",1991-12-27,1991,12,27,2003-11-11,2003,11,11,7.1,34298,"Fresh",71,"Upright",77,"no","no","no","no","no","no","David Cronenberg","Peter Weller","Judy Davis","Ian Holm","Julian Davis","Roy Scheider","http://www.imdb.com/title/tt0102511/","//www.rottentomatoes.com/m/naked_lunch/"
"Galaxina","Feature Film","Science Fiction & Fantasy",95,"R","Crown International Pictures",1980-06-06,1980,6,6,2000-02-29,2000,2,29,3.4,1915,"Rotten",17,"Spilled",26,"no","no","no","no","no","no","William Sachs","Stephen Macht","Dorothy Stratten","Avery Schreiber","James David Hinton","Ronald J. Knight","http://www.imdb.com/title/tt0080771/","//www.rottentomatoes.com/m/galaxina/"
