"title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_date","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_date","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5","imdb_url","rt_url"
"Streets of Gold","Feature Film","Drama",95,"R","Live Home Video",1986-11-14,1986,11,14,NA,NA,NA,NA,6,486,"Rotten",31,"Spilled",44,"no","no","no","no","no","no","Joe Roth","Klaus Maria Brandauer","Adrian Pasdar","Richard Pasdar","Wesley Snipes","Angela Molina","http://www.imdb.com/title/tt0092022/","//www.rottentomatoes.com/m/streets_of_gold/"
"Blue Valentine","Feature Film","Drama",112,"R","Weinstein Company",2010-12-29,2010,12,29,2011-05-10,2011,5,10,7.4,135840,"Certified Fresh",88,"Upright",77,"no","no","no","no","no","no","Andrij Parekh","Ryan Gosling","Michelle Williams","Faith Wladyka","John Doman","Mike Vogel","http://www.imdb.com/title/tt1120985/","//www.rottentomatoes.com/m/blue_valentine/"
"Saving Face","Feature Film","Drama",91,"R","Sony Pictures Classics",2005-05-27,2005,5,27,2005-10-18,2005,10,18,7.6,7545,"Certified Fresh",87,"Upright",88,"no","no","no","no","no","no","Alice Wu","Michelle Krusiec","Joan Chen","Lynn Chen","Jin Wang","Li Zhiyu","http://www.imdb.com/title/tt0384504/","//www.rottentomatoes.com/m/saving_face/"
"So I Married an Axe Murderer","Feature Film","Comedy",93,"PG-13","TriStar Pictures",1993-07-30,1993,7,30,1999-06-01,1999,6,1,6.4,27417,"Rotten",55,"Upright",68,"no","no","no","no","no","no","Thomas Schlamme","Mike Myers","Nancy Travis","Anthony LaPaglia","Amanda Plummer","Brenda Fricker","http://www.imdb.com/title/tt0108174/","//www.rottentomatoes.com/m/so_i_married_an_axe_murderer/"
"Ziggy Stardust and the Spiders from Mars","Documentary","Documentary",90,"PG","20th Century Fox Film Corporat",1973-12-01,1973,12,1,2003-04-01,2003,4,1,7.5,1815,"Fresh",71,"Upright",89,"no","no","no","no","no","no","D.A. Pennebaker","David Bowie","Mick Ronson","Trevor Bolder","Mick Woodmansy","Angela Bowie","http://www.imdb.com/title/tt0086643/","//www.rottentomatoes.com/m/ziggy_stardust_and_the_spiders_from_mars_1973/"
"Carnosaur","Feature Film","Horror",83,"R","Concorde/New Horizons Home Video",1993-05-21,1993,5,21,2000-04-18,2000,4,18,3.4,2959,"Rotten",11,"Spilled",24,"no","no","no","no","no","no","Adam Simon","Diane Ladd","Raphael Sbarge","Jennifer Runyon","David Rupel","Raphael Searge","http://www.imdb.com/title/tt0106521/","//www.rottentomatoes.com/m/carnosaur/"
"U-Turn","Feature Film","Drama",125,"R","Sony Pictures Home Entertainment",1997-10-03,1997,10,3,1998-03-31,1998,3,31,6.8,41385,"Rotten",59,"Upright",62,"no","no","yes","no","yes","no","Oliver Stone","Sean Penn","Nick Nolte","Jennifer Lopez","Powers Boothe","Claire Danes","http://www.imdb.com/title/tt0120399/","//www.rottentomatoes.com/m/u_turn_1997/"
"Broken","Feature Film","Documentary",91,"Unrated","Film Movement",2013-07-19,2013,7,19,2013-11-05,2013,11,5,7.3,9906,"Fresh",63,"Upright",74,"no","no","no","no","no","no","Billy Corben","Keith McCants","Bernie Kosar","Andre Rison","Leon Searchy","Herm Edwards","http://www.imdb.com/title/tt1441940/","//www.rottentomatoes.com/m/broken_2012/"
"Bastard out of Carolina","Feature Film","Drama",97,"R","Winstar",1996-12-15,1996,12,15,2000-04-25,2000,4,25,7.4,3363,"Fresh",100,"Upright",83,"no","no","no","no","no","no","Anjelica Huston","Jennifer Jason Leigh","Jena Malone","Ron Eldard","Dermot Mulroney","Glenne Headly","http://www.imdb.com/title/tt0115633/","//www.rottentomatoes.com/m/bastard_out_of_carolina/"
"Kill Bill: Volume 2","Feature Film","Drama",137,"R","Miramax Films",2004-04-16,2004,4,16,2004-08-10,2004,8,10,8,490295,"Certified Fresh",84,"Upright",89,"no","no","no","no","no","no","Quentin Tarantino","Uma Thurman","David Carradine","Michael Madsen","Daryl Hannah","Gordon Liu","http://www.imdb.com/title/tt0378194/","//www.rottentomatoes.com/m/kill_bill_volume_2/"
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)","Feature Film","Drama",118,"R","Warner Bros.",1980-02-29,1980,2,29,2002-09-17,2002,9,17,7.2,3883,"Fresh",70,"Upright",79,"no","no","no","no","no","no","William Peter Blatty","Stacy Keach","Scott Wilson","Jason Miller","Ed Flanders","Neville Brand","http://www.imdb.com/title/tt0081237/","//www.rottentomatoes.com/m/ninth_configuration/"
"Let the Right One In","Feature Film","Drama",115,"R","Magnet/Magnolia Pictures",2008-01-26,2008,1,26,2009-03-10,2009,3,10,8,168032,"Certified Fresh",98,"Upright",90,"no","no","no","no","no","no","Tomas Alfredson","Kare Hedebrant","Lina Leandersson","Per Ragnar","Henrik Dahl","Karin Bergquist","http://www.imdb.com/title/tt1139797/","//www.rottentomatoes.com/m/let_the_right_one_in/"
"Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers","Documentary","Documentary",92,"Unrated","First Run Features",2009-06-01,2009,6,1,2010-07-20,2010,7,20,7.8,1942,"Certified Fresh",96,"Upright",89,"no","no","no","no","no","no","Judith Ehrlich","Daniel Ellsberg","Patricia Marx Ellsberg","Richard Falk","Thomas Schelling","Thomas Oliphant","http://www.imdb.com/title/tt1319726/","//www.rottentomatoes.com/m/daniel_ellsberg_doc/"
"Proof of Life","Feature Film","Drama",135,"R","Warner Bros. Pictures",2000-12-08,2000,12,8,2001-06-19,2001,6,19,6.2,48324,"Rotten",40,"Spilled",43,"no","no","yes","no","no","no","Taylor Hackford","Meg Ryan","Russell Crowe","David Morse","David Caruso","Pamela Reed","http://www.imdb.com/title/tt0228750/","//www.rottentomatoes.com/m/proof_of_life/"
"LOL","Feature Film","Comedy",97,"PG-13","Lionsgate Films",2012-05-04,2012,5,4,2012-07-31,2012,7,31,4.2,43574,"Rotten",17,"Spilled",51,"no","no","no","no","no","no","Liza Azuelos","Miley Cyrus","Demi Moore","Ashley Greene","Douglas Booth","Adam G. Sevani","http://www.imdb.com/title/tt1592873/","//www.rottentomatoes.com/m/lol_2011/"
"Top Gun","Feature Film","Drama",110,"PG","Paramount Pictures",1986-05-16,1986,5,16,1998-10-20,1998,10,20,6.9,211129,"Rotten",54,"Upright",83,"no","no","no","no","no","yes","Tony Scott","Tom Cruise","Kelly McGillis","Anthony Edwards","Val Kilmer","Tom Skerritt","http://www.imdb.com/title/tt0092099/","//www.rottentomatoes.com/m/top_gun/"
"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)","Feature Film","Drama",93,"R","New Yorker Films",1972-12-29,1972,12,29,2000-10-24,2000,10,24,8,36909,"Fresh",98,"Upright",91,"no","no","no","no","no","no","Werner Herzog","Klaus Kinski","Ruy Guerra","Ruy Guerra","Del Negro","Del Negro","http://www.imdb.com/title/tt0068182/","//www.rottentomatoes.com/m/aguirre_the_wrath_of_god/"
"Bounce","Feature Film","Drama",106,"PG-13","Miramax Films",2000-11-17,2000,11,17,2001-04-10,2001,4,10,5.7,17133,"Rotten",52,"Spilled",33,"no","no","no","yes","no","no","Don Roos","Ben Affleck","Gwyneth Paltrow","Tony Goldwyn","Alex D. Linz","David Dorfman","http://www.imdb.com/title/tt0186894/","//www.rottentomatoes.com/m/bounce/"
"Rescue Dawn","Feature Film","Drama",120,"PG-13","MGM",2007-07-27,2007,7,27,2007-11-20,2007,11,20,7.4,82378,"Certified Fresh",91,"Upright",74,"no","no","no","no","no","no","Werner Herzog","Christian Bale","Steve Zahn","Jeremy Davies","Marshall Bell","Teerawat Mulvilai","http://www.imdb.com/title/tt0462504/","//www.rottentomatoes.com/m/rescue_dawn/"
"The King of Comedy","Feature Film","Drama",109,"PG","Fox",1983-01-01,1983,1,1,2002-12-17,2002,12,17,7.8,49374,"Certified Fresh",89,"Upright",89,"no","no","yes","no","yes","no","Martin Scorsese","Robert De Niro","Jerry Lewis","Sandra Bernhard","Ed Herlihy","Louis Polliman Brown","http://www.imdb.com/title/tt0085794/","//www.rottentomatoes.com/m/1011623-king_of_comedy/"
"The Mother","Feature Film","Drama",112,"R","Sony Pictures Classics",2004-05-28,2004,5,28,2004-10-12,2004,10,12,6.9,3487,"Certified Fresh",77,"Upright",62,"no","no","no","no","no","no","Roger Michell","Anne Reid","Daniel Craig","Cathryn Bradshaw","Steven Mackintosh","Peter Vaughan","http://www.imdb.com/title/tt0323298/","//www.rottentomatoes.com/m/1132642-mother/"
"Lola Versus","Feature Film","Comedy",87,"R","Fox Searchlight Pictures",2012-06-08,2012,6,8,2012-09-11,2012,9,11,5.4,6811,"Rotten",35,"Spilled",31,"no","no","no","no","no","no","Daryl Wein","Greta Gerwig","Joel Kinnaman","Zoe Lister Jones","Hamish Linklater","Bill Pullman","http://www.imdb.com/title/tt1710417/","//www.rottentomatoes.com/m/lola_versus/"
"Bhutto","Documentary","Documentary",111,"Unrated","First Run Entertainment",2010-12-03,2010,12,3,2011-05-10,2011,5,10,7.8,541,"Fresh",86,"Upright",88,"no","no","no","no","no","no","Duane Baughman","Tariq Ali","Reza Aslan","Diana Aveni","Benazir Bhutto","Fatima Bhutto","http://www.imdb.com/title/tt1524095/","//www.rottentomatoes.com/m/bhutto/"
"Melancholia","Feature Film","Drama",130,"R","Magnolia Pictures",2011-11-11,2011,11,11,2012-03-13,2012,3,13,7.1,122980,"Certified Fresh",79,"Upright",67,"no","no","no","no","no","no","Lars von Trier","Kirsten Dunst","Charlotte Gainsbourg","Kiefer Sutherland","John Hurt","Alexander Skarsgard","http://www.imdb.com/title/tt1527186/","//www.rottentomatoes.com/m/melancholia-2008/"
"The Package","Feature Film","Mystery & Suspense",108,"R","Orion Home Video",1989-08-25,1989,8,25,2001-05-15,2001,5,15,6.4,6247,"Fresh",64,"Spilled",43,"no","no","yes","no","no","no","Andrew Davis","Gene Hackman","Joanna Cassidy","Tommy Lee Jones","John Heard","Kevin Crowley","http://www.imdb.com/title/tt0098051/","//www.rottentomatoes.com/m/package/"
"My Flesh and Blood","Documentary","Documentary",83,"Unrated","Strand Releasing",2003-11-28,2003,11,28,2004-11-30,2004,11,30,8.4,1571,"Fresh",90,"Upright",93,"no","no","no","no","no","no","Jonathan Karsh","Susan Tom","Joe Tom","Chloe Tom","Anthony Tom","Xenia Tom","http://www.imdb.com/title/tt0342804/","//www.rottentomatoes.com/m/my_flesh_and_blood/"
"The Main Event","Feature Film","Other",112,"PG","WARNER BROTHERS PICTURES",1979-06-22,1979,6,22,2003-07-01,2003,7,1,5.8,1816,"Rotten",38,"Spilled",44,"no","no","no","no","no","no","Howard Zieff","Ryan O'Neal","Paul Sand","Whitman Mayo","Patti D'Arbanville","Chu Chu Malave","http://www.imdb.com/title/tt0079510/","//www.rottentomatoes.com/m/1013089-main_event/"
"Never Cry Wolf","Feature Film","Drama",105,"PG","Disney",1983-01-01,1983,1,1,2000-02-22,2000,2,22,7.6,6114,"Fresh",100,"Upright",85,"no","no","no","no","no","no","Carroll Ballard","Charles Martin Smith","Brian Dennehy","Zachary Ittimangnaq","Samson Jorah","Hugh Webster","http://www.imdb.com/title/tt0086005/","//www.rottentomatoes.com/m/never_cry_wolf/"
"A Shot at Glory","Feature Film","Drama",114,"R","Fireworks Pictures",2001-06-08,2001,6,8,2002-11-19,2002,11,19,6.3,1803,"Fresh",67,"Upright",65,"no","no","no","no","no","no","Michael Corrente","Michael Keaton","Ally McCoist","Kirsty Mitchell","Brian Cox","Cole Hauser","http://www.imdb.com/title/tt0193854/","//www.rottentomatoes.com/m/a_shot_at_glory_2001/"
